CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,15.555,15.008,14.524,14.101,13.736,13.421,13.146,12.894,12.651,12.406,12.149,11.878,11.594,11.302,11.003,10.696,10.386,10.075,9.771,9.475,9.193
American Samoa,,,,,,,,,,,,,,,,,4,,,,
Bangladesh,10.292,9.883,9.481,9.087,8.704,8.338,7.996,7.682,7.398,7.146,6.925,6.731,6.559,6.404,6.262,6.132,6.014,5.907,5.813,5.728,5.652
Bhutan,13.395,12.862,12.344,11.847,11.374,10.921,10.482,10.049,9.62,9.197,8.785,8.389,8.019,7.68,7.379,7.118,6.9,6.721,6.578,6.465,6.381
Brunei Darussalam,3.742,3.653,3.565,3.483,3.406,3.334,3.261,3.186,3.108,3.03,2.959,2.904,2.872,2.865,2.88,2.911,2.947,2.978,2.996,3.001,2.994
Cambodia,12.679,12.431,12.141,11.882,11.626,11.348,11.028,10.67,10.281,9.864,9.426,8.983,8.553,8.153,7.792,7.479,7.216,6.996,6.81,6.655,6.525
China,6.67,6.7,6.64,6.64,6.49,6.57,6.56,6.51,6.5,6.46,6.45,6.43,6.41,6.4,6.42,6.51,6.81,6.93,7.06,7.08,7.11
Fiji,6.29,6.229,6.172,6.119,6.071,6.032,6.008,5.999,6.009,6.035,6.077,6.131,6.193,6.257,6.321,6.382,6.437,6.489,6.537,6.585,6.633
French Polynesia,5.486,5.43,5.363,5.285,5.197,5.104,5.014,4.936,4.876,4.835,4.811,4.795,4.781,4.765,4.75,4.744,4.757,4.799,4.872,4.974,5.097
Guam,4.708,4.692,4.671,4.645,4.616,4.587,4.562,4.544,4.535,4.536,4.547,4.566,4.591,4.618,4.646,4.673,4.696,4.717,4.735,4.751,4.766
"Hong Kong SAR, China",5.2,5,5.3,5.2,5,5.1,5,4.9,5,5,5.1,5,5,5.4,5.4,5.7,5.5,5.7,6,5.9,6
India,10.858,10.581,10.307,10.043,9.793,9.563,9.352,9.161,8.986,8.828,8.684,8.553,8.433,8.32,8.213,8.109,8.005,7.901,7.8,7.7,7.606
Indonesia,7.919,7.784,7.658,7.541,7.436,7.347,7.281,7.242,7.227,7.234,7.255,7.281,7.303,7.315,7.313,7.298,7.272,7.242,7.215,7.194,7.178
Japan,6.7,6.7,6.9,7.1,7.1,7.41,7.1,7.3,7.5,7.8,7.7,7.7,8.1,8.4,8.05085979508934,8.5307537586188,8.53,8.71,9.1,9.1,9.5
Kiribati,9.739,9.482,9.232,8.986,8.747,8.517,8.299,8.092,7.901,7.728,7.576,7.452,7.354,7.282,7.233,7.202,7.184,7.172,7.16,7.145,7.124
"Korea, Dem. Rep.",5.689,5.772,6.026,6.453,7.024,7.665,8.274,8.758,9.059,9.164,9.098,8.926,8.739,8.608,8.56,8.598,8.703,8.829,8.941,9.029,9.09
"Korea, Rep.",5.6,5.6,5.4,5.2,5.4,5.3,5.2,5.2,5.2,5.2,5.2,5,5.1,5.1,5,5,5,5,5,5,5.1
Lao PDR,13.688,13.327,12.951,12.557,12.15,11.733,11.315,10.902,10.503,10.123,9.768,9.441,9.138,8.858,8.6,8.363,8.143,7.939,7.747,7.564,7.39
"Macao SAR, China",5.489,5.337,5.213,5.11,5.028,4.967,4.924,4.898,4.885,4.88,4.878,4.875,4.867,4.854,4.835,4.813,4.789,4.769,4.756,4.751,4.754
Malaysia,4.856,4.797,4.742,4.689,4.639,4.59,4.543,4.499,4.459,4.427,4.404,4.395,4.4,4.421,4.454,4.498,4.547,4.597,4.644,4.689,4.73
Maldives,8.724,8.212,7.712,7.233,6.781,6.359,5.97,5.611,5.282,4.982,4.71,4.466,4.247,4.053,3.885,3.749,3.651,3.594,3.575,3.588,3.624
Marshall Islands,,,,,,,4,,,4.9,,,,,,,,,,,
"Micronesia, Fed. Sts.",6.533,6.477,6.428,6.386,6.351,6.324,6.306,6.298,6.298,6.306,6.318,6.331,6.343,6.35,6.351,6.345,6.333,6.315,6.295,6.273,6.25
Mongolia,10.058,9.79,9.536,9.29,9.052,8.817,8.584,8.352,8.123,7.899,7.689,7.501,7.341,7.209,7.104,7.016,6.931,6.839,6.733,6.613,6.485
Myanmar,10.209,10.036,9.881,9.74,9.613,9.498,9.394,9.3,9.213,9.132,9.056,8.983,8.912,8.844,8.778,8.711,8.641,8.57,8.498,8.429,8.366
Nepal,12.93,12.398,11.877,11.373,10.888,10.429,9.995,9.586,9.203,8.847,8.521,8.226,7.963,7.73,7.524,7.343,7.184,7.044,6.917,6.803,6.699
New Caledonia,5.4,5.6,5.2,5.2,5.6,5.3,5.2,5,4.8,5.2,5.1,5.2,5.1,5,4.9,4.9,4.7,5,4.7,4.8,4.8
New Zealand,8.1,8,7.85,7.6,7.48,7.49,7.57,7.26,6.87,7.33,6.91,7.16,7.1,6.95,6.95,6.54,6.75,6.74,6.83,6.71,6.51
