region,countryname,topic,indicatorname,year,value
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2009,12460515788.8653
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2008,12956614018.5544
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2007,11595950032.3107
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2006,10210159516.1526
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2005,8429133513.20868
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2004,7184962885.19403
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2003,6290382166.31388
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2002,5942531903.42127
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2001,5465151266.52735
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",2000,4892094600.69235
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",1999,4579468525.11658
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",1998,4603000559.83644
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",1997,5059605338.99695
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",1996,4938511105.78279
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",1995,4659608872.7284
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",1994,4367066984.25878
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",1993,4233401384.6817
East Asia & Pacific,Brunei Darussalam,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,"GNI, Atlas method (current US$)",1992,4152276578.08896
