CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,12067570,12789374,13745630,14824371,15869967,16772522,17481800,18034130,18511480,19038420,19701940,20531160,21487079,22507368,23499850,24399948,25183615,25877544,26528741,27207291,27962207
American Samoa,47044,48379,49597,50725,51807,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58648,57904,57031,56226,55636
Bangladesh,105983136,108509679,110987459,113442354,115913710,118427768,120987124,123574107,126169583,128746273,131280739,133776064,136228456,138600174,140843786,142929979,144839238,146592687,148252473,149905836,151616777
Bhutan,535505,534678,528085,518847,511382,508897,512377,520917,533506,548387,564187,580784,598421,616474,634235,651163,666920,681471,694990,707830,720246
Brunei Darussalam,256939,264365,271989,279717,287423,295010,302449,309746,316873,323812,330554,337074,343383,349557,355700,361889,368150,374459,380786,387080,393302
Cambodia,9008856,9323607,9659238,10007092,10355253,10694459,11022162,11338733,11641509,11928306,12197905,12448881,12681984,12901217,13112334,13320058,13525360,13728700,13933660,14144337,14363586
China,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000
Fiji,728626,735469,744534,755024,765666,775498,784479,792859,800314,806494,811223,814215,815691,816626,818355,821820,827390,834729,843206,851854,859952
French Polynesia,198370,202020,205269,208349,211584,215200,219282,223734,228380,232956,237267,241276,245032,248536,251811,254884,257731,260361,262877,265412,268065
Guam,130482,133553,136696,139820,142806,145562,148060,150306,152275,153951,155328,156417,157241,157823,158194,158401,158429,158332,158310,158621,159440
"Hong Kong SAR, China",5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200
India,870601776,888513869,906461358,924475633,942604211,960874982,979290432,997817250,1016402907,1034976626,1053481072,1071888190,1090189358,1108369577,1126419321,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504
Indonesia,181436821,184614740,187762097,190873248,193939912,196957845,199926615,202853850,205753493,208644079,211540428,214448301,217369087,220307809,223268606,226254703,229263980,232296830,235360765,238465165,241613126
Japan,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000
Kiribati,72411,73698,74773,75722,76674,77727,78907,80190,81556,82969,84406,85858,87343,88892,90545,92329,94257,96310,98437,100566,102648
"Korea, Dem. Rep.",20194354,20510208,20838082,21166230,21478544,21763670,22016510,22240826,22444986,22641747,22840218,23043441,23248053,23449173,23639296,23813324,23969897,24111945,24243829,24371806,24500506
"Korea, Rep.",42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47357362,47622179,47859311,48039415,48138077,48371946,48597652,48948698,49182038,49410366
Lao PDR,4247839,4371549,4496971,4621685,4742685,4857774,4966303,5068658,5165072,5256207,5342879,5424701,5502340,5579003,5658894,5745012,5838837,5939634,6045439,6153153,6260544
"Macao SAR, China",359735,369484,377799,385041,391783,398459,405231,412031,418810,425448,431907,438088,444178,450754,458579,468149,479728,493022,507274,521405,534626
Malaysia,18211097,18709835,19204700,19700762,20205992,20725374,21260881,21808125,22358128,22898579,23420751,23920963,24401977,24869423,25332026,25796124,26263048,26730607,27197419,27661017,28119500
Maldives,218000,227000,234000,242000,245000,255000,262000,264000,271000,280000,286000,292000,297000,304000,312000,321000,333000,349000,362000,360000,367000
Marshall Islands,47300,48481,49382,50052,50577,51020,51397,51697,51922,52076,52161,52184,52161,52115,52074,52058,52080,52136,52221,52321,52428
"Micronesia, Fed. Sts.",96331,98800,101412,103937,106057,107556,108342,108506,108236,107808,107430,107170,106983,106816,106575,106198,105680,105080,104472,103961,103619
Mongolia,2184145,2217920,2243506,2263204,2280495,2298038,2316571,2335694,2355588,2376165,2397438,2419729,2443503,2469045,2496621,2526447,2558484,2592776,2629666,2669572,2712657
Myanmar,42007309,42588029,43126260,43642311,44164109,44710931,45290888,45895991,46509586,47106923,47669791,48195684,48689952,49151958,49582751,49984704,50355559,50698814,51030006,51369725,51733013
Nepal,18741688,19237322,19765570,20312687,20859421,21390905,21902534,22395247,22866496,23315053,23740145,24140941,24516969,24868900,25198130,25506847,25794344,26063619,26325183,26592666,26875910
New Caledonia,170899,175362,179799,184496,189482,193816,197564,201418,205279,209214,213230,217324,221490,224868,228297,231779,235314,238902,242546,246245,250000
New Zealand,3329800,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700
Northern Mariana Islands,43972,46719,49429,52120,54817,57518,60248,62939,65374,67271,68434,68817,68499,67562,66143,64372,62235,59791,57343,55276,53860
Pakistan,107607639,110634399,113616165,116579605,119564925,122599749,125697651,128845692,132013680,135158132,138250487,141282077,144271586,147251530,150267989,153356383,156524189,159767672,163096985,166520983,170043918
Palau,15089,15471,15894,16345,16805,17255,17695,18123,18524,18878,19174,19404,19575,19700,19805,19907,20012,20118,20227,20344,20470
Papua New Guinea,4157903,4261933,4369407,4480689,4596131,4715929,4840311,4969116,5101633,5236863,5374051,5512835,5653284,5795571,5940048,6086905,6236158,6387470,6540267,6693799,6847517
Philippines,61947340,63509940,65078901,66654954,68240134,69835713,71437381,73042605,74656228,76285225,77932247,79604541,81294378,82971734,84596249,86141373,87592899,88965508,90297115,91641881,93038902
Samoa,162865,164073,165568,167206,168786,170158,171276,172191,172979,173758,174614,175567,176592,177677,178794,179928,181072,182238,183440,184700,186029
Singapore,3047100,3135100,3230700,3313500,3419000,3524500,3670700,3796000,3927200,3958700,4027900,4138000,4176000,4114800,4166700,4265800,4401400,4588600,4839400,4987600,5076700
Solomon Islands,311849,320764,329984,339490,349250,359236,369438,379859,390489,401319,412336,423535,434893,446352,457841,469306,480716,492075,503410,514767,526177
