CountryName;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Afghanistan;;;;;;;;;;;;;15.80370424;19.85694356;21.51116885;23.31430901;25.16211067;33.16569259;38.28061081;38.49537496;47.87693003
Bangladesh;;;;;;11.1189743;11.24924942;8.45283814;8.54611826;8.86107608;9.05065324;9.57052419;10.27460596;10.80218157;11.92708522;12.41791943;13.50581614;15.2556323;17.62900088;19.8729368;23.21265948
Bhutan;;;;;;22.8442782;38.04856853;50.30467013;49.74897226;51.4905143;52.2768137;50.7275577;70.74812938;51.04597434;48.86175631;66.47686997;71.0632863;103.51123809;114.38905608;100.20007349;114.39934512
Brunei Darussalam;;;;;;472.87608436;626.53608969;623.29714294;566.25679118;580.38402955;543.43193622;525.01802749;525.858593;574.83129904;657.82176241;671.41210724;680.287436;738.1371667;820.58372564;766.30796576;844.0727216
Cambodia;;;;;;16.95654331;22.80050168;19.0396072;15.87288078;16.26814729;17.45969224;18.08916318;19.93464528;24.11555285;25.73593323;27.16969704;22.51567597;21.91059883;40.54435594;46.03716198;45.5484699
China;;;;;;20.74271133;25.97525599;30.51117097;34.92657213;38.19567923;43.0257289;46.8808979;53.69986898;60.7147926;69.59153718;79.72724348;92.57459188;113.38614393;154.93177632;188.98104243;215.82446703
Fiji;;;;;;79.03331503;88.79112652;93.2512631;65.9663532;75.73947566;80.27137161;66.87968791;78.60440577;95.01010817;120.37024672;131.89022088;143.73790528;152.45247039;153.58720377;143.38044771;154.29097272
India;;;;;;16.08837397;16.2261044;18.77417135;18.84084998;18.68343736;20.05424882;21.42583107;21.58578096;24.26355967;29.38683698;32.00315302;33.87225542;41.0059803;43.97846848;45.57564358;53.99506316
Indonesia;;;;;;20.25538382;22.94590283;20.75184049;9.73631974;15.50137067;15.45551953;16.90277485;20.34778272;27.26842071;27.48043873;35.52433938;46.51232129;57.98078755;61.11902865;64.19561211;85.98546631
Japan;;;;;;2924.01361571;2630.41027587;2390.66366026;2248.36395535;2633.04968717;2865.04030962;2550.51869153;2453.53577707;2691.77621465;2912.80524302;2927.70593415;2792.74916585;2800.09316585;3257.83574104;3746.226984;4114.96745331
Kiribati;;;;;;71.10291348;80.88979911;82.47391591;58.89382789;76.76682269;65.19314376;66.67559671;75.70841859;102.6816292;119.32923113;118.0165111;124.38332887;160.17614386;183.33588526;143.14529458;162.34690059
Korea, Rep.;;;;;;452.44094808;508.67994671;468.70455676;320.3840745;436.96843964;504.41338686;535.26732653;589.34431686;699.68406171;788.72844461;992.74684368;1202.31411144;1383.49655823;1262.6446781;1219.15008786;1506.47524723
Lao PDR;;;;;;15.01179042;17.2989793;21.64877124;15.78886924;10.21582453;10.67916077;13.09676375;12.81222744;17.67371393;19.03046181;20.3552112;25.00811504;29.19491847;23.93188277;33.60276321;26.48306143
Malaysia;;;;;;121.91714904;132.58924069;125.15689927;94.50628369;104.83912241;121.61867864;131.75166378;140.58236122;175.05826632;184.18165012;182.82669952;225.81838845;260.26463518;293.45983361;289.26697594;349.33286764
Maldives;;;;;;92.97602067;114.41275659;126.62468736;131.75994511;144.65074121;161.73360374;153.37090193;152.07319932;199.33322465;217.27726876;234.86647109;287.01085611;314.74156418;475.44174157;474.62372997;379.20771522
Marshall Islands;;;;;;373.65533613;411.93556166;407.60506264;384.74355829;374.43090508;465.62481778;411.94361849;418.00800899;411.07880078;448.80015859;461.91873327;547.4184256;587.39385516;569.06138514;551.13922016;542.40526648
Micronesia, Fed. Sts.;;;;;;188.53910552;173.85384773;147.96207583;141.14254037;154.70589381;169.92657544;189.92614538;177.79477113;218.24880168;232.87615294;285.12778018;285.44934996;292.06352227;323.25020575;358.16788192;392.5983821
Mongolia;;;;;;19.90697258;20.60829888;18.43434961;19.27559406;17.96994822;22.098674;24.1892654;27.51859629;47.66294757;55.82526835;59.7906561;71.59581601;92.79065209;135.7429475;110.5450619;143.21018864
Myanmar;;;;;;2.37873178;2.35100111;1.79848667;1.86793498;2.40722882;3.14310759;2.43217698;2.78557752;3.67906475;4.54471764;4.72247972;5.34469448;6.91893958;9.79931612;13.15271626;15.18997346
Nepal;;;;;;10.90293098;11.26711144;12.28383792;13.59237957;12.97273539;12.44269944;13.26595691;13.6228166;14.34903952;16.88085061;18.68680361;19.74376871;23.28065347;27.1056574;28.72972051;35.62231116
New Zealand;;;;;;1202.80554004;1291.82225616;1307.63807703;1129.6764081;1157.64112725;1056.08026654;1058.84151076;1261.33796233;1623.88432472;1992.66435675;2307.09691243;2315.65412324;2713.53514314;2838.81445669;2727.11111845;3285.48438207
Pakistan;;;;;;15.20935872;15.18308581;14.80219628;15.63464034;15.69154237;14.96093162;13.07494253;14.89117671;15.76849452;17.56362919;21.96347795;28.81911712;31.12069423;29.48426997;27.91304924;30.39762696
Palau;;;;;;763.14477221;859.62202086;857.6626547;761.55258044;803.89871808;908.15687911;668.47041847;663.26351818;680.51555621;787.66435274;781.97465766;847.17616536;899.29605975;903.56708378;872.21031873;967.89060081
Papua New Guinea;;;;;;36.00686817;38.94903589;33.15111478;28.08492537;26.82719789;25.91566888;25.21451963;24.41821076;24.82702539;30.43769076;32.10158919;31.28567594;31.88425916;42.32509042;44.81205491;48.97083291
Philippines;;;;;;36.72942135;41.22143316;40.94851268;31.04836705;35.27786837;33.48617009;28.83610994;28.05091128;32.98370603;35.01783174;47.0055363;55.27671905;65.40749817;76.13256762;78.09975449;90.34522843
Samoa;;;;;;60.90659443;62.07545528;74.25372167;75.15660038;83.01516856;79.83727115;78.61434063;82.6519203;93.10675645;106.09183092;114.13507581;129.1524519;164.37232945;153.13112187;160.42930286;201.40423664
Singapore;;;;;;740.80353525;771.75229152;766.38592921;712.30234734;635.50111786;661.79780705;525.70544586;632.04375502;826.25073086;826.28189333;1057.77255356;1166.63835866;1308.62435955;1545.71870048;1650.53860437;1833.32785055
Solomon Islands;;;;;;46.93884135;46.19142675;49.08999241;42.57344684;45.71640398;48.12268204;60.92367741;47.84744523;44.75884891;46.21528017;69.09626806;63.30813485;67.10613417;71.92748904;91.48676927;94.87137565
Sri Lanka;;;;;;24.48774371;26.09399151;27.20078652;31.3411984;30.36502012;32.39991347;31.20836514;34.23005231;37.96640024;44.33510983;49.2228217;56.65819613;58.76626993;67.97539598;68.24000685;81.95917606
Thailand;;;;;;100.5975218;117.32828459;100.16324553;68.60557662;69.57516997;66.83973518;60.73746219;73.58516994;79.22817986;87.10609346;95.45400641;109.80607013;133.21890869;161.58737325;163.63182185;182.93784809
